ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
463,Eastern Cape - King Sabata Dalindyebo,Mthatha,"-31.601987,28.750605",08/27/2013 12:00:00 AM,09/06/2013 00:00
419,Gauteng - West Rand,Johannesburg,"-26.471645,27.772807",08/28/2013 12:00:00 AM,08/28/2013 12:00:00 AM
421,Western Cape - City of Cape Town,Cape Town,"-33.785389,20.123322",08/28/2013 12:00:00 AM,08/28/2013 12:00:00 AM
423,Gauteng - City of Johannesburg,Johannesburg,"-26.192114,28.030306",08/28/2013 12:00:00 AM,08/28/2013 12:00:00 AM
425,KwaZulu Natal - The Msunduzi,Pietermaritzburg,"-29.604686,30.372469",08/28/2013 12:00:00 AM,08/28/2013 12:00:00 AM
445,Gauteng - City of Johannesburg,Johannesburg,"-26.108505,28.053795",08/28/2013 12:00:00 AM,08/28/2013 12:00:00 AM
465,Limpopo - Lephalale,Lephalale,"-23.677333,27.734792",08/28/2013 12:00:00 AM,09/06/2013 00:00
422,Gauteng - City of Tshwane,Pretoria,"-25.748224,28.188834",08/29/2013 12:00:00 AM,08/29/2013 12:00:00 AM
461,Gauteng - City of Tshwane,Pretoria,"-25.675577,28.523702",08/29/2013 12:00:00 AM,08/29/2013 12:00:00 AM
420,Gauteng - City of Johannesburg,Johannesburg,"-26.207144,28.037617",08/30/2013 12:00:00 AM,08/30/2013 12:00:00 AM
436,Western Cape - City of Cape Town,Cape Town,"-33.907808,18.564744",08/30/2013 12:00:00 AM,08/30/2013 12:00:00 AM
457,Gauteng - City of Tshwane,Pretoria,"-25.749612,28.185931",08/30/2013 12:00:00 AM,08/30/2013 12:00:00 AM
637,KwaZulu Natal - Emnambithi/Ladysmith,Ladysmith,"-28.692602,30.16766",08/30/2013 12:00:00 AM,08/30/2013 12:00:00 AM
462,North West - Moses Kotane,Rustenburg,"-25.347465,27.099669",08/31/2013 12:00:00 AM,08/31/2013 12:00:00 AM
432,Gauteng - City of Tshwane,Pretoria,"-25.762303,28.206692",09/01/2013 00:00,09/01/2013 00:00
433,Gauteng - City of Johannesburg,Johannesburg,"-26.255795,27.910149",09/01/2013 00:00,09/01/2013 00:00
434,Gauteng - City of Johannesburg,Johannesburg,"-26.272774,27.886729",09/01/2013 00:00,09/01/2013 00:00
428,KwaZulu Natal - eThekwini,Durban,"-29.877897,30.984316",09/02/2013 00:00,09/02/2013 00:00
429,Mpumalanga - Mbombela,Nelspruit,"-25.461485,30.929624",09/02/2013 00:00,09/02/2013 00:00
430,Limpopo - Thulamela,Malamulele,"-23.011852,30.716263",09/02/2013 00:00,09/02/2013 00:00
431,KwaZulu Natal - eThekwini,Durban,"-29.857936,30.966404",09/02/2013 00:00,09/02/2013 00:00
437,Gauteng - City of Johannesburg,Johannesburg,"-26.237185,28.002775",09/02/2013 00:00,09/02/2013 00:00
440,Gauteng - City of Johannesburg,Johannesburg,"-26.203019,28.034219",09/02/2013 00:00,09/05/2013 00:00
446,Gauteng - West Rand,Johannesburg,"-26.325012,27.414734",09/02/2013 00:00,09/06/2013 00:00
450,Gauteng - Ekurhuleni,Kempton Park,"-26.15679,28.227027",09/02/2013 00:00,09/05/2013 00:00
451,Western Cape - City of Cape Town,Cape Town,"-33.989798,18.591243",09/02/2013 00:00,09/06/2013 00:00
452,Western Cape - City of Cape Town,Cape Town,"-34.042784,18.655119",09/02/2013 00:00,09/06/2013 00:00
453,Western Cape - City of Cape Town,Cape Town,"-33.975794,18.676689",09/02/2013 00:00,09/06/2013 00:00
456,Gauteng - City of Tshwane,Pretoria,"-25.749886,28.200561",09/02/2013 00:00,09/02/2013 00:00
512,Mpumalanga - Govan Mbeki,Secunda,"-26.552241,29.074947",09/02/2013 00:00,09/09/2013 00:00
427,Gauteng - City of Tshwane,Pretoria,"-25.745356,28.204137",09/03/2013 00:00,09/03/2013 00:00
438,Gauteng - City of Johannesburg,Johannesburg,"-26.184888,27.703288",09/03/2013 00:00,09/05/2013 00:00
